Make,Type,Asset Code,Category,Sub-Category,Model Number,Serial No.
Asus ,Windows PC,PNT/EWSI/35,Accessories,Computers,Asus F450 Ci3-4010U,8Y4F93ZR5XBPIU6
Asus ,Windows PC,PNT/EWSI/81,Accessories,Computers,Asus F450 Ci3-4010U,9F8D49UE8GDMYUX
Asus ,Windows PC,PNT/EWSI/95,Accessories,Computers,Asus F450 Ci3-4010U,6N3A12CI6HWKMX5
Lenovo ,Windows PC,PNT/GCXF/32,Accessories,Computers,Lenovo E460-20ET-000DUE,21N1Q7M3
HP,Monitor,PNT/JZZVEYD/17,Accessories,Computers,,Y15GKEX176
HP,Monitor,PNT/JZZVEYD/27,Accessories,Computers,,S55KFON257
HP,Monitor,PNT/JZZVEYD/81,Accessories,Computers,,U98EZRC778
HP,Monitor,PNT/JZZVEYD/95,Accessories,Computers,,M99BHEC928
Logitech wireless Keyboard,Keyboards,PNT/KIJ/27,Accessories,Computer accessories,Logitech Combo Pack,
Logitech wireless Keyboard,Keyboards,PNT/KIJ/81,Accessories,Computer accessories,Logitech Combo Pack,
Microsoft,Headsets,PNT/MH/4466,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/5485,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/6597,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/8115,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/9983,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Compaq ,Windows PC,PNT/PDW/117,Accessories,Computers,"Compaq Presario CQ 57 (15"")",
Compaq ,Windows PC,PNT/PDW/644,Accessories,Computers,"Compaq Presario CQ 57 (15"")",YIDQS-ZXC-PHK-QLM
Logitech,Webcam,PNT/QSUR/337,Accessories,Audio Visual Equipment,Logitech C930E,DQPP15B4389K
Logitech,Webcam,PNT/QSUR/737,Accessories,Audio Visual Equipment,Logitech C930E,ZAIH61M88BZU
Logitech,Webcam,PNT/QSUR/793,Accessories,Audio Visual Equipment,Logitech C930E,UBYS71W88973
Macbook Pro,Macbook,PNT/REDL/15,Accessories,Computers,MF839,6TS76E2E418S
Macbook Pro,MACBOOK,PNT/REDL/17,Accessories,Computers,MF839,1SK33L77614C
Macbook Pro,Macbook,PNT/REDL/27,Accessories,Computers,MF839,8BB8571B185M
Macbook Pro,Macbook,PNT/REDL/35,Accessories,Computers,MF839,6BR2246X819Z
Macbook Pro,Macbook,PNT/REDL/44,Accessories,Computers,MF839,9XC22353279H
Macbook Pro,MACBOOK,PNT/REDL/81,Accessories,Computers,MF839,1VH521S5352M
Macbook Pro,Macbook,PNT/REDL/95,Accessories,Computers,MF839,7WC95169447M
Macbook Pro,Macbook,PNT/REDL/98,Accessories,Computers,MF839,9MO22319421X
Acer Chromebook ,Windows PC,PNT/TRT/337,Accessories,Computers,C710 Series,SJKTIOKZWUH
Acer Chromebook ,Windows PC,PNT/TRT/644,Accessories,Computers,C710 Series,CJXNIKERFTE
Acer Chromebook ,Windows PC,PNT/TRT/793,Accessories,Computers,C710 Series,IVGSKYXZHTD
Eaton UPS,UPS,VLQ,Electronics,Electrical Accessories,EATON 5E 1500VA,2LBK8MWNKO
Macbook Pro,MACBOOK,VLQ/PL/521728,Accessories,Computers,,6ZE2K13C168D
Macbook Pro,Macbook,VLQ/PL/737166,Accessories,Computers,,3YG64O17434G
Macbook Pro,Macbook,VLQ/PL/761587,Accessories,Computers,,9KCA46B34184Z
iPhone,Phone ,,Accessories,Other,A1633,13246IK89949
Apple,Magic Mouse,,Accessories,Computer accessories,,13MCCXPXY3144584
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,19DPS3DRVFSFGMUC
iPhone,Phone ,,Accessories,Other,A1688,1HM948Y81241
Lenovo,Windows PC,,Accessories,Computers,Lenovo G50-80,25I368R3
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,3P9N7THQESVDLE3V
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,3X15799Z49Y3
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,41ECW7OFGCSYWFAV
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,44CMJ9JIHKLKKCRC
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,46VVG6CLMNDJL8TE
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,4M2J9FPJNJZKOCU5
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,5J139O8146V9
Apple,Magic Keyboard,,Accessories,Computer accessories,,5J9DCDFKA667Y113C
Lenovo ,Windows PC,,Accessories,Computers,Lenovo G50-80,61KZH2W5
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,62AWY6OJDWDTSYTJ
iPhone,Phone ,,Accessories,Other,MN8G2LL/A,6667QP7587F2
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,6T784GF152J7
iPhone,Phone ,,Accessories,Other,MN9D2LL/A,6ZH8B4K219O1
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,8G7B7TOWSNBBTWD6
"New Macbook Pro, 15 inch Charger",Macbook Charger,,Accessories,Computer accessories,,8VXQFMNS14675T47F
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,96BKM6FSEQWVSKNL
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,9SA41SOK97R7
iPhone,Phone ,,Accessories,Other,MN9D2LL/A,9SC3JG1Z86J6
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,J91OXYTM12
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,P83YDMQM7Z
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,Z53ULWIP7O
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,
Samsung ,USB Travel Charger ,,Accessories,Electrical Accessories,,
,,,,,,
